Date,Open,High,Low,Close,Adj Close,Volume
2006-07-01,11670.200195,11929.900391,11410.400391,11831.000000,11831.000000,313669240000
2006-08-01,11864.099609,12226.599609,11817.500000,12073.799805,12073.799805,367508870000
2006-09-01,12121.599609,12210.900391,11464.599609,11761.299805,11761.299805,419377100000
2006-10-01,11767.400391,12415.900391,11407.299805,12344.599609,12344.599609,447572240000
2006-11-01,12023.299805,12782.599609,12002.599609,12752.400391,12752.400391,472302780000
2006-12-01,12757.400391,13053.200195,12665.900391,12908.400391,12908.400391,308882200000
2007-01-01,12924.500000,13074.099609,12412.599609,13034.099609,13034.099609,415042850000
2007-02-01,13090.700195,13433.000000,12947.900391,13045.000000,13045.000000,386122690000
2007-03-01,12920.000000,13308.099609,12661.500000,13165.500000,13165.500000,427146980000
2007-04-01,13185.299805,13713.099609,13165.500000,13416.700195,13416.700195,405056610000
2007-05-01,13430.200195,14216.200195,13305.099609,14056.799805,14056.799805,479040540000
2007-06-01,14084.500000,14209.400391,13535.299805,13906.599609,13906.599609,467503550000
2007-07-01,14001.400391,14646.799805,13705.000000,13868.599609,13868.599609,447407930000
2007-08-01,13751.799805,13868.599609,12463.799805,13660.500000,13660.500000,472156430000
2007-09-01,13673.700195,14167.299805,13539.900391,14098.900391,14098.900391,422655910000
2007-10-01,14113.099609,14625.000000,13869.099609,14625.000000,14625.000000,534449990000
2007-11-01,14485.700195,14625.000000,13190.099609,13689.099609,13689.099609,505792650000
2007-12-01,13671.599609,14027.200195,13295.599609,13833.099609,13833.099609,358796220000
2008-01-01,13907.700195,14037.700195,11982.900391,13155.099609,13155.099609,524615010000
2008-02-01,13202.599609,13891.799805,12747.599609,13582.700195,13582.700195,450582730000
2008-03-01,13622.500000,13667.599609,12453.900391,13350.099609,13350.099609,500977590000
2008-04-01,13337.700195,14372.299805,13254.000000,13937.000000,13937.000000,475525290000
2008-05-01,13920.299805,15128.599609,13846.599609,14714.700195,14714.700195,479426570000
2008-06-01,14673.900391,15154.799805,14156.500000,14467.000000,14467.000000,470814100000
2008-07-01,14573.500000,14584.900391,13157.900391,13592.900391,13592.900391,511716690000
2008-08-01,13645.099609,13771.299805,13015.900391,13771.299805,13771.299805,407096470000
2008-09-01,13558.799805,13771.299805,11171.299805,11752.900391,11752.900391,650845590000
2008-10-01,11730.700195,11775.799805,8537.299805,9762.799805,9762.799805,699078040000
2008-11-01,9841.299805,10199.799805,7647.100098,9270.599609,9270.599609,592806990000
2008-12-01,8816.400391,9270.599609,7802.299805,8987.700195,8987.700195,565090840000
2009-01-01,8951.900391,9505.700195,8387.599609,8694.900391,8694.900391,476996300000
2009-02-01,8603.000000,9151.599609,7566.299805,8123.000000,8123.000000,476191390000
2009-03-01,7997.600098,9018.500000,7480.000000,8720.400391,8720.400391,583944020000
2009-04-01,8647.599609,9568.299805,8617.299805,9324.799805,9324.799805,485719130000
2009-05-01,9369.200195,10493.099609,9324.799805,10370.099609,10370.099609,470602520000
2009-06-01,10530.799805,10726.000000,9727.299805,10374.900391,10374.900391,479934280000
2009-07-01,10290.500000,10841.500000,9535.500000,10787.200195,10787.200195,377496840000
2009-08-01,10943.299805,11065.400391,10480.200195,10868.200195,10868.200195,354227650000
2009-09-01,10840.900391,11648.599609,10634.799805,11395.000000,11395.000000,453526510000
2009-10-01,11403.299805,11595.000000,10767.599609,10910.799805,10910.799805,404188080000
2009-11-01,10896.700195,11737.799805,10745.299805,11447.200195,11447.200195,363944460000
2009-12-01,11574.700195,11816.299805,11248.900391,11746.099609,11746.099609,332250650000
2010-01-01,11847.299805,12070.700195,11084.299805,11094.299805,11094.299805,327643960000
2010-02-01,11147.500000,11763.299805,10990.400391,11629.599609,11629.599609,314432930000
2010-03-01,11682.799805,12129.299805,11629.599609,12037.700195,12037.700195,411092830000
2010-04-01,12069.900391,12321.799805,11954.000000,12210.700195,12210.700195,392558170000
2010-05-01,12274.000000,12294.599609,11180.000000,11763.000000,11763.000000,466124930000
2010-06-01,11702.200195,12077.000000,11244.000000,11294.400391,11294.400391,436134310000
2010-07-01,11245.299805,11822.700195,11065.500000,11713.400391,11713.400391,365732790000
2010-08-01,11829.299805,11990.799805,11469.299805,11913.900391,11913.900391,391965760000
2010-09-01,11978.299805,12406.400391,11914.200195,12368.700195,12368.700195,449730310000
2010-10-01,12400.099609,12710.200195,12262.700195,12676.200195,12676.200195,394791410000
2010-11-01,12725.900391,13114.099609,12501.799805,12952.900391,12952.900391,466848390000
2010-12-01,13067.000000,13493.599609,12952.900391,13443.200195,13443.200195,410213970000
